"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":52050},{""page_index"":1,""viewing_time"":29475}]","81525","instructions","0","81529","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","82651","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","6275","html-keyboard-response","2","89179","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","3103","html-keyboard-response","3","92540","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","2084","html-keyboard-response","4","94878","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","1694","html-keyboard-response","5","96823","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","1443","html-keyboard-response","6","98533","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","2087","html-keyboard-response","7","100881","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","2294","html-keyboard-response","8","103434","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","104704","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","4775","html-keyboard-response","10","109734","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","2145","html-keyboard-response","11","112134","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","1844","html-keyboard-response","12","114238","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","1559","html-keyboard-response","13","116062","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","1089","html-keyboard-response","14","117406","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","1275","html-keyboard-response","15","118939","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","1104","html-keyboard-response","16","120305","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","1434","html-keyboard-response","17","121997","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","13859","html-keyboard-response","18","136109","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","n","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":19625}]","19625","instructions","19","156235","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","157353","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2529","html-keyboard-response","21","160145","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">Barulho</span>"," ","","exp-sent","Barulho","","",""
"","1235","html-keyboard-response","22","161634","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
"","1314","html-keyboard-response","23","163211","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">carros</span>"," ","","exp-sent","carros","","",""
"","1023","html-keyboard-response","24","164487","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">é</span>"," ","","exp-sent","é","","",""
"","1745","html-keyboard-response","25","166495","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">irritante</span>"," ","","exp-sent","irritante","","",""
"","996","html-keyboard-response","26","167744","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">para</span>"," ","","exp-sent","para","","",""
"","984","html-keyboard-response","27","168980","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","2681","html-keyboard-response","28","171918","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">moça.</span>"," ","","exp-sent","moça.","","",""
"","null","html-keyboard-response","29","173188","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3085","html-keyboard-response","30","176528","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","1281","html-keyboard-response","31","178072","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">loja</span>"," ","","exp-sent","loja","","",""
"","1081","html-keyboard-response","32","179420","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">também</span>"," ","","exp-sent","também","","",""
"","1164","html-keyboard-response","33","180837","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">vende</span>"," ","","exp-sent","vende","","",""
"","1662","html-keyboard-response","34","182751","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">taça</span>"," ","","exp-sent","taça","","",""
"","886","html-keyboard-response","35","183891","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","exp-sent","de","","",""
