"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":36270}]","36271","instructions","0","36276","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","36901","0.0-1.0-0.0","+","null","","","","","",""
"","15237","html-keyboard-response","2","52142","0.0-1.0-1.0","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","3","52655","0.0-1.0-0.1","+","null","","","","","",""
"","3863","html-keyboard-response","4","56519","0.0-1.0-1.1","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","57034","0.0-1.0-0.2","+","null","","","","","",""
"","2886","html-keyboard-response","6","59922","0.0-1.0-1.2","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","60433","0.0-1.0-0.3","+","null","","","","","",""
"","7901","html-keyboard-response","8","68335","0.0-1.0-1.3","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","68848","0.0-1.0-0.4","+","null","","","","","",""
"","5672","html-keyboard-response","10","74527","0.0-1.0-1.4","chassi","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","11","75042","0.0-1.0-0.5","+","null","","","","","",""
"","3861","html-keyboard-response","12","78906","0.0-1.0-1.5","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","79411","0.0-1.0-0.6","+","null","","","","","",""
"","15077","html-keyboard-response","14","94490","0.0-1.0-1.6","calmaria","n","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":60484}]","60484","instructions","15","154975","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","155599","0.0-3.0-0.0","+","null","","","","","",""
"","2355","html-keyboard-response","17","157958","0.0-3.0-1.0","aivões","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","158461","0.0-3.0-0.1","+","null","","","","","",""
"","1382","html-keyboard-response","19","159846","0.0-3.0-1.1","tio","s","n","noncog","word","S","exp","3"
"","null","html-keyboard-response","20","160350","0.0-3.0-0.2","+","null","","","","","",""
"","2948","html-keyboard-response","21","163300","0.0-3.0-1.2","usfiga","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","163817","0.0-3.0-0.3","+","null","","","","","",""
"","1709","html-keyboard-response","23","165527","0.0-3.0-1.3","aemaça","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","24","166042","0.0-3.0-0.4","+","null","","","","","",""
"","3138","html-keyboard-response","25","169181","0.0-3.0-1.4","resmungar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","26","169688","0.0-3.0-0.5","+","null","","","","","",""
"","1204","html-keyboard-response","27","170894","0.0-3.0-1.5","grátis","s","a","cog","word","S","exp","6"
"","null","html-keyboard-response","28","171406","0.0-3.0-0.6","+","null","","","","","",""
"","1274","html-keyboard-response","29","172680","0.0-3.0-1.6","bancada","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","30","173183","0.0-3.0-0.7","+","null","","","","","",""
"","1374","html-keyboard-response","31","174559","0.0-3.0-1.7","afual","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","32","175065","0.0-3.0-0.8","+","null","","","","","",""
"","1228","html-keyboard-response","33","176294","0.0-3.0-1.8","filosofia","s","n","cog","word","S","exp","9"
"","null","html-keyboard-response","34","176799","0.0-3.0-0.9","+","null","","","","","",""
