"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":18006},{""page_index"":1,""viewing_time"":7695}]","25701","instructions","0","25705","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","26832","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1299","audio-keyboard-response","2","31012","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1160","audio-keyboard-response","3","32528","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1400","audio-keyboard-response","4","34265","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1179","audio-keyboard-response","5","35781","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1069","audio-keyboard-response","6","37174","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1400","audio-keyboard-response","7","38922","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1171","audio-keyboard-response","8","40432","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","41691","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1040","audio-keyboard-response","10","43079","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1251","audio-keyboard-response","11","44668","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1320","audio-keyboard-response","12","46339","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1160","audio-keyboard-response","13","47840","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","891","audio-keyboard-response","14","49072","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1259","audio-keyboard-response","15","50662","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","979","audio-keyboard-response","16","51982","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1640","audio-keyboard-response","17","53965","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","5066","html-keyboard-response","18","59287","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":5205}]","5205","instructions","19","65005","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","66131","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1101","audio-keyboard-response","21","67591","0.0-3.0-1.0","../audio/63-1-fem.mp3"," ","","A","","","",""
"","1392","audio-keyboard-response","22","69320","0.0-3.0-1.1","../audio/63-2-fem.mp3"," ","","chuva","","","",""
"","1139","audio-keyboard-response","23","70810","0.0-3.0-1.2","../audio/63-3-fem.mp3"," ","","entrou","","","",""
"","960","audio-keyboard-response","24","72099","0.0-3.0-1.3","../audio/63-4-fem.mp3"," ","","pela","","","",""
"","1499","audio-keyboard-response","25","73938","0.0-3.0-1.4","../audio/63-5-fem.mp3"," ","","abertura","","","",""
"","891","audio-keyboard-response","26","75161","0.0-3.0-1.5","../audio/63-6-fem.mp3"," ","","na","","","",""
"","1531","audio-keyboard-response","27","77038","0.0-3.0-1.6","../audio/63-7-fem.mp3"," ","","janela.","","","",""
"","null","html-keyboard-response","28","78311","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1171","audio-keyboard-response","29","79829","0.0-3.0-1.7","../audio/61-1-fem.mp3"," ","","Aquele","","","",""
"","1208","audio-keyboard-response","30","81366","0.0-3.0-1.8","../audio/61-2-fem.mp3"," ","","senhor","","","",""
"","771","audio-keyboard-response","31","82458","0.0-3.0-1.9","../audio/61-3-fem.mp3"," ","","é","","","",""
"","1229","audio-keyboard-response","32","84020","0.0-3.0-1.10","../audio/61-4-fem.mp3"," ","","muito","","","",""
"","1411","audio-keyboard-response","33","85774","0.0-3.0-1.11","../audio/61-5-fem.mp3"," ","","sovina","","","",""
"","909","audio-keyboard-response","34","87021","0.0-3.0-1.12","../audio/61-6-fem.mp3"," ","","e","","","",""
"","1960","audio-keyboard-response","35","89284","0.0-3.0-1.13","../audio/61-7-fem.mp3"," ","","inflexível.","","","",""
"","null","html-keyboard-response","36","90570","0.0-3.0-0.14-0.14","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1829","audio-keyboard-response","37","92742","0.0-3.0-1.14","../audio/62-1-masc.mp3"," ","","As","","","",""
"","1491","audio-keyboard-response","38","94594","0.0-3.0-1.15","../audio/62-2-masc.mp3"," ","","artesãs","","","",""
"","1059","audio-keyboard-response","39","95973","0.0-3.0-1.16","../audio/62-3-masc.mp3"," ","","gostam","","","",""
"","851","audio-keyboard-response","40","97153","0.0-3.0-1.17","../audio/62-4-masc.mp3"," ","","de","","","",""
"","1739","audio-keyboard-response","41","99252","0.0-3.0-1.18","../audio/62-5-masc.mp3"," ","","maquiagem","","","",""
"","760","audio-keyboard-response","42","100420","0.0-3.0-1.19","../audio/62-6-masc.mp3"," ","","e","","","",""
"","800","audio-keyboard-response","43","101580","0.0-3.0-1.20","../audio/62-7-masc.mp3"," ","","de","","","",""
"","1259","audio-keyboard-response","44","103176","0.0-3.0-1.21","../audio/62-8-masc.mp3"," ","","crochê.","","","",""
