"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","trial","word","question","answer","accuracy"
"[{""page_index"":0,""viewing_time"":27135},{""page_index"":1,""viewing_time"":17704}]","44843","instructions","0","44851","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","45960","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","12250","html-keyboard-response","2","58464","0.0-1.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","prac-sent","O","","",""
"","4048","html-keyboard-response","3","62767","0.0-1.0-1.1","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","prac-sent","dia","","",""
"","2818","html-keyboard-response","4","65838","0.0-1.0-1.2","<span style=""font-size:30px; font-family: monospace"">estará</span>"," ","","prac-sent","estará","","",""
"","2466","html-keyboard-response","5","68558","0.0-1.0-1.3","<span style=""font-size:30px; font-family: monospace"">cheio</span>"," ","","prac-sent","cheio","","",""
"","1145","html-keyboard-response","6","69958","0.0-1.0-1.4","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","1412","html-keyboard-response","7","71631","0.0-1.0-1.5","<span style=""font-size:30px; font-family: monospace"">nuvens</span>"," ","","prac-sent","nuvens","","",""
"","7787","html-keyboard-response","8","79671","0.0-1.0-1.6","<span style=""font-size:30px; font-family: monospace"">hoje.</span>"," ","","prac-sent","hoje.","","",""
"","null","html-keyboard-response","9","80925","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3844","html-keyboard-response","10","85022","0.0-1.0-1.7","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","prac-sent","A","","",""
"","2107","html-keyboard-response","11","87382","0.0-1.0-1.8","<span style=""font-size:30px; font-family: monospace"">caneca</span>"," ","","prac-sent","caneca","","",""
"","1917","html-keyboard-response","12","89553","0.0-1.0-1.9","<span style=""font-size:30px; font-family: monospace"">colorida</span>"," ","","prac-sent","colorida","","",""
"","1996","html-keyboard-response","13","91832","0.0-1.0-1.10","<span style=""font-size:30px; font-family: monospace"">caiu</span>"," ","","prac-sent","caiu","","",""
"","2140","html-keyboard-response","14","94224","0.0-1.0-1.11","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","prac-sent","da","","",""
"","1457","html-keyboard-response","15","95935","0.0-1.0-1.12","<span style=""font-size:30px; font-family: monospace"">mesa</span>"," ","","prac-sent","mesa","","",""
"","1093","html-keyboard-response","16","97279","0.0-1.0-1.13","<span style=""font-size:30px; font-family: monospace"">de</span>"," ","","prac-sent","de","","",""
"","2458","html-keyboard-response","17","99991","0.0-1.0-1.14","<span style=""font-size:30px; font-family: monospace"">jantar.</span>"," ","","prac-comp","jantar.","","",""
"","17827","html-keyboard-response","18","118072","0.0-1.0-2.14-0.14","<span style=""font-size:30px; font-family: monospace"">A caneca permaneceu na mesa?</span>","n","","prac-comp","","A caneca permaneceu na mesa?","não","false"
"[{""page_index"":0,""viewing_time"":26075}]","26076","instructions","19","144650","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","145760","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1027","html-keyboard-response","21","147040","0.0-3.0-1.0","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","1939","html-keyboard-response","22","149233","0.0-3.0-1.1","<span style=""font-size:30px; font-family: monospace"">travesseiro</span>"," ","","exp-sent","travesseiro","","",""
"","1025","html-keyboard-response","23","150512","0.0-3.0-1.2","<span style=""font-size:30px; font-family: monospace"">era</span>"," ","","exp-sent","era","","",""
"","1562","html-keyboard-response","24","152328","0.0-3.0-1.3","<span style=""font-size:30px; font-family: monospace"">muito</span>"," ","","exp-sent","muito","","",""
"","3507","html-keyboard-response","25","156088","0.0-3.0-1.4","<span style=""font-size:30px; font-family: monospace"">macio</span>"," ","","exp-sent","macio","","",""
"","1068","html-keyboard-response","26","157408","0.0-3.0-1.5","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","2232","html-keyboard-response","27","159896","0.0-3.0-1.6","<span style=""font-size:30px; font-family: monospace"">confortável.</span>"," ","","exp-sent","confortável.","","",""
"","null","html-keyboard-response","28","161150","0.0-3.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1197","html-keyboard-response","29","162601","0.0-3.0-1.7","<span style=""font-size:30px; font-family: monospace"">Hoje</span>"," ","","exp-sent","Hoje","","",""
"","955","html-keyboard-response","30","163808","0.0-3.0-1.8","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","2299","html-keyboard-response","31","166361","0.0-3.0-1.9","<span style=""font-size:30px; font-family: monospace"">atendente</span>"," ","","exp-sent","atendente","","",""
"","1068","html-keyboard-response","32","167682","0.0-3.0-1.10","<span style=""font-size:30px; font-family: monospace"">estava</span>"," ","","exp-sent","estava","","",""
"","1259","html-keyboard-response","33","169193","0.0-3.0-1.11","<span style=""font-size:30px; font-family: monospace"">furiosa</span>"," ","","exp-sent","furiosa","","",""
"","1099","html-keyboard-response","34","170546","0.0-3.0-1.12","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","894","html-keyboard-response","35","171697","0.0-3.0-1.13","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","1882","html-keyboard-response","36","173833","0.0-3.0-1.14","<span style=""font-size:30px; font-family: monospace"">cliente.</span>"," ","","exp-sent","cliente.","","",""
"","null","html-keyboard-response","37","175092","0.0-3.0-0.15-0.15","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","755","html-keyboard-response","38","176106","0.0-3.0-1.15","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","970","html-keyboard-response","39","177330","0.0-3.0-1.16","<span style=""font-size:30px; font-family: monospace"">vizinho</span>"," ","","exp-sent","vizinho","","",""
"","1040","html-keyboard-response","40","178634","0.0-3.0-1.17","<span style=""font-size:30px; font-family: monospace"">é</span>"," ","","exp-sent","é","","",""
"","929","html-keyboard-response","41","179817","0.0-3.0-1.18","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","2004","html-keyboard-response","42","182074","0.0-3.0-1.19","<span style=""font-size:30px; font-family: monospace"">arquiteto</span>"," ","","exp-sent","arquiteto","","",""
"","922","html-keyboard-response","43","183249","0.0-3.0-1.20","<span style=""font-size:30px; font-family: monospace"">muito</span>"," ","","exp-sent","muito","","",""
"","3008","html-keyboard-response","44","186522","0.0-3.0-1.21","<span style=""font-size:30px; font-family: monospace"">excêntrico.</span>"," ","","exp-sent","excêntrico.","","",""
"","null","html-keyboard-response","45","187778","0.0-3.0-0.22-0.22","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","810","html-keyboard-response","46","188841","0.0-3.0-1.22","<span style=""font-size:30px; font-family: monospace"">A</span>"," ","","exp-sent","A","","",""
"","948","html-keyboard-response","47","190042","0.0-3.0-1.23","<span style=""font-size:30px; font-family: monospace"">nossa</span>"," ","","exp-sent","nossa","","",""
"","914","html-keyboard-response","48","191209","0.0-3.0-1.24","<span style=""font-size:30px; font-family: monospace"">colega</span>"," ","","exp-sent","colega","","",""
"","875","html-keyboard-response","49","192337","0.0-3.0-1.25","<span style=""font-size:30px; font-family: monospace"">foi</span>"," ","","exp-sent","foi","","",""
"","915","html-keyboard-response","50","193506","0.0-3.0-1.26","<span style=""font-size:30px; font-family: monospace"">má</span>"," ","","exp-sent","má","","",""
"","1043","html-keyboard-response","51","194802","0.0-3.0-1.27","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","948","html-keyboard-response","52","196003","0.0-3.0-1.28","<span style=""font-size:30px; font-family: monospace"">as</span>"," ","","exp-sent","as","","",""
"","3228","html-keyboard-response","53","199483","0.0-3.0-1.29","<span style=""font-size:30px; font-family: monospace"">crianças.</span>"," ","","exp-sent","crianças.","","",""
"","null","html-keyboard-response","54","200736","0.0-3.0-0.30-0.30","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","828","html-keyboard-response","55","201817","0.0-3.0-1.30","<span style=""font-size:30px; font-family: monospace"">Virtudes</span>"," ","","exp-sent","Virtudes","","",""
"","827","html-keyboard-response","56","202906","0.0-3.0-1.31","<span style=""font-size:30px; font-family: monospace"">não</span>"," ","","exp-sent","não","","",""
"","746","html-keyboard-response","57","203906","0.0-3.0-1.32","<span style=""font-size:30px; font-family: monospace"">são</span>"," ","","exp-sent","são","","",""
"","1192","html-keyboard-response","58","205354","0.0-3.0-1.33","<span style=""font-size:30px; font-family: monospace"">preguiça,</span>"," ","","exp-sent","preguiça,","","",""
"","898","html-keyboard-response","59","206506","0.0-3.0-1.34","<span style=""font-size:30px; font-family: monospace"">gula</span>"," ","","exp-sent","gula","","",""
"","922","html-keyboard-response","60","207682","0.0-3.0-1.35","<span style=""font-size:30px; font-family: monospace"">nem</span>"," ","","exp-sent","nem","","",""
"","5340","html-keyboard-response","61","213274","0.0-3.0-1.36","<span style=""font-size:30px; font-family: monospace"">ganância.</span>"," ","","comp","ganância.","","",""
"","11380","html-keyboard-response","62","224907","0.0-3.0-2.36-0.36","<span style=""font-size:30px; font-family: monospace"">Preguiça é uma virtude?</span>","n","","comp","","Preguiça é uma virtude?","não","false"
"","null","html-keyboard-response","63","226412","0.0-3.0-0.37-0.37","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2081","html-keyboard-response","64","228746","0.0-3.0-1.37","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","812","html-keyboard-response","65","229810","0.0-3.0-1.38","<span style=""font-size:30px; font-family: monospace"">é</span>"," ","","exp-sent","é","","",""
"","771","html-keyboard-response","66","230834","0.0-3.0-1.39","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","964","html-keyboard-response","67","232050","0.0-3.0-1.40","<span style=""font-size:30px; font-family: monospace"">pai</span>"," ","","exp-sent","pai","","",""
"","1475","html-keyboard-response","68","233778","0.0-3.0-1.41","<span style=""font-size:30px; font-family: monospace"">ausente</span>"," ","","exp-sent","ausente","","",""
"","779","html-keyboard-response","69","234810","0.0-3.0-1.42","<span style=""font-size:30px; font-family: monospace"">e</span>"," ","","exp-sent","e","","",""
"","805","html-keyboard-response","70","235867","0.0-3.0-1.43","<span style=""font-size:30px; font-family: monospace"">muito</span>"," ","","exp-sent","muito","","",""
"","1299","html-keyboard-response","71","237419","0.0-3.0-1.44","<span style=""font-size:30px; font-family: monospace"">fofoqueiro.</span>"," ","","exp-sent","fofoqueiro.","","",""
"","null","html-keyboard-response","72","238674","0.0-3.0-0.45-0.45","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","629","html-keyboard-response","73","239555","0.0-3.0-1.45","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","851","html-keyboard-response","74","240658","0.0-3.0-1.46","<span style=""font-size:30px; font-family: monospace"">filho</span>"," ","","exp-sent","filho","","",""
"","1107","html-keyboard-response","75","242018","0.0-3.0-1.47","<span style=""font-size:30px; font-family: monospace"">lavou</span>"," ","","exp-sent","lavou","","",""
"","779","html-keyboard-response","76","243051","0.0-3.0-1.48","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","2171","html-keyboard-response","77","245475","0.0-3.0-1.49","<span style=""font-size:30px; font-family: monospace"">roupa</span>"," ","","exp-sent","roupa","","",""
"","644","html-keyboard-response","78","246371","0.0-3.0-1.50","<span style=""font-size:30px; font-family: monospace"">sem</span>"," ","","exp-sent","sem","","",""
"","739","html-keyboard-response","79","247363","0.0-3.0-1.51","<span style=""font-size:30px; font-family: monospace"">nenhuma</span>"," ","","exp-sent","nenhuma","","",""
"","1289","html-keyboard-response","80","248907","0.0-3.0-1.52","<span style=""font-size:30px; font-family: monospace"">ajuda.</span>"," ","","exp-sent","ajuda.","","",""
"","null","html-keyboard-response","81","250172","0.0-3.0-0.53-0.53","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","641","html-keyboard-response","82","251076","0.0-3.0-1.53","<span style=""font-size:30px; font-family: monospace"">O</span>"," ","","exp-sent","O","","",""
"","811","html-keyboard-response","83","252143","0.0-3.0-1.54","<span style=""font-size:30px; font-family: monospace"">menino</span>"," ","","exp-sent","menino","","",""
"","704","html-keyboard-response","84","253099","0.0-3.0-1.55","<span style=""font-size:30px; font-family: monospace"">quebrou</span>"," ","","exp-sent","quebrou","","",""
"","788","html-keyboard-response","85","254140","0.0-3.0-1.56","<span style=""font-size:30px; font-family: monospace"">a</span>"," ","","exp-sent","a","","",""
"","1250","html-keyboard-response","86","255644","0.0-3.0-1.57","<span style=""font-size:30px; font-family: monospace"">perna</span>"," ","","exp-sent","perna","","",""
"","803","html-keyboard-response","87","256699","0.0-3.0-1.58","<span style=""font-size:30px; font-family: monospace"">nos</span>"," ","","exp-sent","nos","","",""
"","1341","html-keyboard-response","88","258292","0.0-3.0-1.59","<span style=""font-size:30px; font-family: monospace"">esportes.</span>"," ","","exp-sent","esportes.","","",""
"","null","html-keyboard-response","89","259546","0.0-3.0-0.60-0.60","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1839","html-keyboard-response","90","261636","0.0-3.0-1.60","<span style=""font-size:30px; font-family: monospace"">Ela</span>"," ","","exp-sent","Ela","","",""
"","722","html-keyboard-response","91","262611","0.0-3.0-1.61","<span style=""font-size:30px; font-family: monospace"">brincou</span>"," ","","exp-sent","brincou","","",""
"","931","html-keyboard-response","92","263795","0.0-3.0-1.62","<span style=""font-size:30px; font-family: monospace"">com</span>"," ","","exp-sent","com","","",""
"","1042","html-keyboard-response","93","265091","0.0-3.0-1.63","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","2084","html-keyboard-response","94","267429","0.0-3.0-1.64","<span style=""font-size:30px; font-family: monospace"">menina</span>"," ","","exp-sent","menina","","",""
"","1570","html-keyboard-response","95","269253","0.0-3.0-1.65","<span style=""font-size:30px; font-family: monospace"">da</span>"," ","","exp-sent","da","","",""
"","2323","html-keyboard-response","96","271828","0.0-3.0-1.66","<span style=""font-size:30px; font-family: monospace"">turma.</span>"," ","","exp-sent","turma.","","",""
"","null","html-keyboard-response","97","273083","0.0-3.0-0.67-0.67","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","856","html-keyboard-response","98","274204","0.0-3.0-1.67","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","869","html-keyboard-response","99","275327","0.0-3.0-1.68","<span style=""font-size:30px; font-family: monospace"">esteve</span>"," ","","exp-sent","esteve","","",""
"","848","html-keyboard-response","100","276428","0.0-3.0-1.69","<span style=""font-size:30px; font-family: monospace"">no</span>"," ","","exp-sent","no","","",""
"","1201","html-keyboard-response","101","277884","0.0-3.0-1.70","<span style=""font-size:30px; font-family: monospace"">escritório</span>"," ","","exp-sent","escritório","","",""
"","794","html-keyboard-response","102","278939","0.0-3.0-1.71","<span style=""font-size:30px; font-family: monospace"">o</span>"," ","","exp-sent","o","","",""
"","1436","html-keyboard-response","103","280628","0.0-3.0-1.72","<span style=""font-size:30px; font-family: monospace"">dia</span>"," ","","exp-sent","dia","","",""
"","755","html-keyboard-response","104","281638","0.0-3.0-1.73","<span style=""font-size:30px; font-family: monospace"">inteiro.</span>"," ","","comp","inteiro.","","",""
"","3010","html-keyboard-response","105","284901","0.0-3.0-2.73-0.73","<span style=""font-size:30px; font-family: monospace"">Ele esteve no parque o dia inteiro?</span>","n","","comp","","Ele esteve no parque o dia inteiro?","não","false"
"","null","html-keyboard-response","106","286406","0.0-3.0-0.74-0.74","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1410","html-keyboard-response","107","288068","0.0-3.0-1.74","<span style=""font-size:30px; font-family: monospace"">No</span>"," ","","exp-sent","No","","",""
"","818","html-keyboard-response","108","289140","0.0-3.0-1.75","<span style=""font-size:30px; font-family: monospace"">passado</span>"," ","","exp-sent","passado","","",""
"","900","html-keyboard-response","109","290293","0.0-3.0-1.76","<span style=""font-size:30px; font-family: monospace"">houve</span>"," ","","exp-sent","houve","","",""
"","1033","html-keyboard-response","110","291580","0.0-3.0-1.77","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","1315","html-keyboard-response","111","293148","0.0-3.0-1.78","<span style=""font-size:30px; font-family: monospace"">rebelião</span>"," ","","exp-sent","rebelião","","",""
"","860","html-keyboard-response","112","294261","0.0-3.0-1.79","<span style=""font-size:30px; font-family: monospace"">nesta</span>"," ","","exp-sent","nesta","","",""
"","1386","html-keyboard-response","113","295900","0.0-3.0-1.80","<span style=""font-size:30px; font-family: monospace"">cidade.</span>"," ","","exp-sent","cidade.","","",""
"","null","html-keyboard-response","114","297154","0.0-3.0-0.81-0.81","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","635","html-keyboard-response","115","298052","0.0-3.0-1.81","<span style=""font-size:30px; font-family: monospace"">Ele</span>"," ","","exp-sent","Ele","","",""
"","865","html-keyboard-response","116","299173","0.0-3.0-1.82","<span style=""font-size:30px; font-family: monospace"">fundou</span>"," ","","exp-sent","fundou","","",""
"","674","html-keyboard-response","117","300101","0.0-3.0-1.83","<span style=""font-size:30px; font-family: monospace"">uma</span>"," ","","exp-sent","uma","","",""
"","867","html-keyboard-response","118","301221","0.0-3.0-1.84","<span style=""font-size:30px; font-family: monospace"">empresa</span>"," ","","exp-sent","empresa","","",""
"","811","html-keyboard-response","119","302285","0.0-3.0-1.85","<span style=""font-size:30px; font-family: monospace"">privada</span>"," ","","exp-sent","privada","","",""
"","786","html-keyboard-response","120","303324","0.0-3.0-1.86","<span style=""font-size:30px; font-family: monospace"">sem</span>"," ","","exp-sent","sem","","",""
"","932","html-keyboard-response","121","304510","0.0-3.0-1.87","<span style=""font-size:30px; font-family: monospace"">ajuda.</span>"," ","","exp-sent","ajuda.","","",""
"","null","html-keyboard-response","122","305765","0.0-3.0-0.88-0.88","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1237","html-keyboard-response","123","307255","0.0-3.0-1.88","<span style=""font-size:30px; font-family: monospace"">As</span>"," ","","exp-sent","As","","",""
"","712","html-keyboard-response","124","308220","0.0-3.0-1.89","<span style=""font-size:30px; font-family: monospace"">meninas</span>"," ","","exp-sent","meninas","","",""
"","1027","html-keyboard-response","125","309501","0.0-3.0-1.90","<span style=""font-size:30px; font-family: monospace"">encontraram</span>"," ","","exp-sent","encontraram","","",""
"","628","html-keyboard-response","126","310381","0.0-3.0-1.91","<span style=""font-size:30px; font-family: monospace"">um</span>"," ","","exp-sent","um","","",""
"","755","html-keyboard-response","127","311389","0.0-3.0-1.92","<span style=""font-size:30px; font-family: monospace"">rato</span>"," ","","exp-sent","rato","","",""
