"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":18433},{""page_index"":1,""viewing_time"":18237}]","36673","instructions","0","36682","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","37875","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2339","audio-keyboard-response","2","41707","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1640","audio-keyboard-response","3","44194","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1661","audio-keyboard-response","4","46874","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1749","audio-keyboard-response","5","49035","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","1211","audio-keyboard-response","6","50900","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","1869","audio-keyboard-response","7","53298","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","4512","audio-keyboard-response","8","58526","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","59788","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1208","audio-keyboard-response","10","61818","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1669","audio-keyboard-response","11","64114","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1779","audio-keyboard-response","12","66891","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","1309","audio-keyboard-response","13","68896","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","979","audio-keyboard-response","14","70580","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1381","audio-keyboard-response","15","72393","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","989","audio-keyboard-response","16","73895","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1691","audio-keyboard-response","17","76559","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","3477","html-keyboard-response","18","80308","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":9171}]","9183","instructions","19","90003","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","91118","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1381","audio-keyboard-response","21","93320","0.0-3.0-1.0","../audio/44-1-masc.mp3"," ","","Meus","","","",""
"","1221","audio-keyboard-response","22","95004","0.0-3.0-1.1","../audio/44-2-masc.mp3"," ","","irmãos","","","",""
"","1261","audio-keyboard-response","23","96763","0.0-3.0-1.2","../audio/44-3-masc.mp3"," ","","brigam","","","",""
"","872","audio-keyboard-response","24","98123","0.0-3.0-1.3","../audio/44-4-masc.mp3"," ","","por","","","",""
"","1171","audio-keyboard-response","25","99837","0.0-3.0-1.4","../audio/44-5-masc.mp3"," ","","bobagem","","","",""
"","821","audio-keyboard-response","26","101364","0.0-3.0-1.5","../audio/44-6-masc.mp3"," ","","todos","","","",""
"","749","audio-keyboard-response","27","102552","0.0-3.0-1.6","../audio/44-7-masc.mp3"," ","","os","","","",""
"","1301","audio-keyboard-response","28","104405","0.0-3.0-1.7","../audio/44-8-masc.mp3"," ","","dias.","","","",""
"","null","html-keyboard-response","29","105678","0.0-3.0-0.8-0.8","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","739","audio-keyboard-response","30","107169","0.0-3.0-1.8","../audio/42-1-masc.mp3"," ","","Eu","","","",""
"","731","audio-keyboard-response","31","108300","0.0-3.0-1.9","../audio/42-2-masc.mp3"," ","","fui","","","",""
"","811","audio-keyboard-response","32","109524","0.0-3.0-1.10","../audio/42-3-masc.mp3"," ","","a","","","",""
"","891","audio-keyboard-response","33","110948","0.0-3.0-1.11","../audio/42-4-masc.mp3"," ","","uma","","","",""
"","800","audio-keyboard-response","34","112300","0.0-3.0-1.12","../audio/42-5-masc.mp3"," ","","loja","","","",""
"","611","audio-keyboard-response","35","113324","0.0-3.0-1.13","../audio/42-6-masc.mp3"," ","","de","","","",""
"","960","audio-keyboard-response","36","114829","0.0-3.0-1.14","../audio/42-7-masc.mp3"," ","","móveis","","","",""
"","731","audio-keyboard-response","37","116012","0.0-3.0-1.15","../audio/42-8-masc.mp3"," ","","no","","","",""
"","1600","audio-keyboard-response","38","118141","0.0-3.0-1.16","../audio/42-9-masc.mp3"," ","","bairro.","","","",""
"","null","html-keyboard-response","39","119402","0.0-3.0-0.17-0.17","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1040","audio-keyboard-response","40","121157","0.0-3.0-1.17","../audio/43-1-fem.mp3"," ","","Eu","","","",""
"","1221","audio-keyboard-response","41","122984","0.0-3.0-1.18","../audio/43-2-fem.mp3"," ","","achei","","","",""
"","941","audio-keyboard-response","42","124349","0.0-3.0-1.19","../audio/43-3-fem.mp3"," ","","um","","","",""
"","1200","audio-keyboard-response","43","126325","0.0-3.0-1.20","../audio/43-4-fem.mp3"," ","","colchão","","","",""
"","1109","audio-keyboard-response","44","127970","0.0-3.0-1.21","../audio/43-5-fem.mp3"," ","","velho","","","",""
"","1040","audio-keyboard-response","45","129448","0.0-3.0-1.22","../audio/43-6-fem.mp3"," ","","e","","","",""
"","1448","audio-keyboard-response","46","131403","0.0-3.0-1.23","../audio/43-7-fem.mp3"," ","","imundo","","","",""
"","1069","audio-keyboard-response","47","132879","0.0-3.0-1.24","../audio/43-8-fem.mp3"," ","","na","","","",""
"","2160","audio-keyboard-response","48","135481","0.0-3.0-1.25","../audio/43-9-fem.mp3"," ","","casa.","","","",""
"","null","html-keyboard-response","49","136756","0.0-3.0-0.26-0.26","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","781","audio-keyboard-response","50","138421","0.0-3.0-1.26","../audio/41-1-fem.mp3"," ","","A","","","",""
"","1309","audio-keyboard-response","51","140359","0.0-3.0-1.27","../audio/41-2-fem.mp3"," ","","novela","","","",""
"","1040","audio-keyboard-response","52","141943","0.0-3.0-1.28","../audio/41-3-fem.mp3"," ","","falava","","","",""
"","741","audio-keyboard-response","53","143179","0.0-3.0-1.29","../audio/41-4-fem.mp3"," ","","de","","","",""
"","1069","audio-keyboard-response","54","144805","0.0-3.0-1.30","../audio/41-5-fem.mp3"," ","","paixão","","","",""
"","829","audio-keyboard-response","55","146421","0.0-3.0-1.31","../audio/41-6-fem.mp3"," ","","e","","","",""
"","1621","audio-keyboard-response","56","148579","0.0-3.0-1.32","../audio/41-7-fem.mp3"," ","","comédia.","","","",""
"","null","html-keyboard-response","57","149859","0.0-3.0-0.33-0.33","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","651","audio-keyboard-response","58","151272","0.0-3.0-1.33","../audio/45-1-fem.mp3"," ","","O","","","",""
"","981","audio-keyboard-response","59","152744","0.0-3.0-1.34","../audio/45-2-fem.mp3"," ","","homem","","","",""
"","1029","audio-keyboard-response","60","154274","0.0-3.0-1.35","../audio/45-3-fem.mp3"," ","","pagou","","","",""
"","789","audio-keyboard-response","61","155814","0.0-3.0-1.36","../audio/45-4-fem.mp3"," ","","o","","","",""
"","1229","audio-keyboard-response","62","157483","0.0-3.0-1.37","../audio/45-5-fem.mp3"," ","","aluguel","","","",""
"","811","audio-keyboard-response","63","158832","0.0-3.0-1.38","../audio/45-6-fem.mp3"," ","","com","","","",""
"","1432","audio-keyboard-response","64","160870","0.0-3.0-1.39","../audio/45-7-fem.mp3"," ","","atraso.","","","",""
"","3044","html-keyboard-response","65","164181","0.0-3.0-2.39-0.39","<span style=""font-size:25px; font-family: monospace"">O homem pagou o aluguel em dia?</span>","n","","","O homem pagou o aluguel em dia?","null","exp-sent","false"
"","null","html-keyboard-response","66","165713","0.0-3.0-0.40-0.40","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1011","audio-keyboard-response","67","167343","0.0-3.0-1.40","../audio/19-1-masc.mp3"," ","","O","","","",""
"","880","audio-keyboard-response","68","168626","0.0-3.0-1.41","../audio/19-2-masc.mp3"," ","","menino","","","",""
"","931","audio-keyboard-response","69","170206","0.0-3.0-1.42","../audio/19-3-masc.mp3"," ","","ganhou","","","",""
"","821","audio-keyboard-response","70","171496","0.0-3.0-1.43","../audio/19-4-masc.mp3"," ","","uma","","","",""
"","891","audio-keyboard-response","71","172791","0.0-3.0-1.44","../audio/19-5-masc.mp3"," ","","bala","","","",""
"","912","audio-keyboard-response","72","174269","0.0-3.0-1.45","../audio/19-6-masc.mp3"," ","","depois","","","",""
"","771","audio-keyboard-response","73","175848","0.0-3.0-1.46","../audio/19-7-masc.mp3"," ","","do","","","",""
