"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":45706}]","45712","instructions","0","45848","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","46470","0.0-1.0-0.0","+","null","","","","","",""
"","4444","html-keyboard-response","2","50919","0.0-1.0-1.0","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","3","51423","0.0-1.0-0.1","+","null","","","","","",""
"","2727","html-keyboard-response","4","54154","0.0-1.0-1.1","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","54659","0.0-1.0-0.2","+","null","","","","","",""
"","3142","html-keyboard-response","6","57807","0.0-1.0-1.2","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","7","58310","0.0-1.0-0.3","+","null","","","","","",""
"","2813","html-keyboard-response","8","61124","0.0-1.0-1.3","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","61629","0.0-1.0-0.4","+","null","","","","","",""
"","3412","html-keyboard-response","10","65043","0.0-1.0-1.4","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","65554","0.0-1.0-0.5","+","null","","","","","",""
"","3208","html-keyboard-response","12","68764","0.0-1.0-1.5","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","69268","0.0-1.0-0.6","+","null","","","","","",""
"","2846","html-keyboard-response","14","72115","0.0-1.0-1.6","chassi","n","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":2582}]","2582","instructions","15","74698","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","75316","0.0-3.0-0.0","+","null","","","","","",""
"","4894","html-keyboard-response","17","80211","0.0-3.0-1.0","crolatário","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","80716","0.0-3.0-0.1","+","null","","","","","",""
"","4894","html-keyboard-response","19","85612","0.0-3.0-1.1","bibarconato","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","86116","0.0-3.0-0.2","+","null","","","","","",""
"","3867","html-keyboard-response","21","89986","0.0-3.0-1.2","âgnulo","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","22","90488","0.0-3.0-0.3","+","null","","","","","",""
"","1946","html-keyboard-response","23","92436","0.0-3.0-1.3","montanha","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","24","92938","0.0-3.0-0.4","+","null","","","","","",""
"","1523","html-keyboard-response","25","94463","0.0-3.0-1.4","planalto","s","n","cog","word","S","exp","8"
"","null","html-keyboard-response","26","94966","0.0-3.0-0.5","+","null","","","","","",""
"","1948","html-keyboard-response","27","96916","0.0-3.0-1.5","pritas","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","97419","0.0-3.0-0.6","+","null","","","","","",""
