"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":8817}]","8823","instructions","0","8839","0.0-0.0","","","",""
"","null","html-keyboard-response","1","9474","0.0-1.0-0.0","+","null","",""
"","3259","audio-keyboard-response","2","13002","0.0-1.0-1.0","../audio/teste-vocab--121.mp3","s","atônito","sezi"
"","null","html-keyboard-response","3","13515","0.0-1.0-0.1","+","null","",""
"","2429","audio-keyboard-response","4","16126","0.0-1.0-1.1","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","5","16638","0.0-1.0-0.2","+","null","",""
"","2429","audio-keyboard-response","6","19486","0.0-1.0-1.2","../audio/teste-vocab--38.mp3","s","cerimônia","seremoni"
"","null","html-keyboard-response","7","19997","0.0-1.0-0.3","+","null","",""
"","2421","audio-keyboard-response","8","22829","0.0-1.0-1.3","../audio/teste-vocab--79.mp3","s","moldura"," chanbranl"
"","null","html-keyboard-response","9","23336","0.0-1.0-0.4","+","null","",""
"","1941","audio-keyboard-response","10","25440","0.0-1.0-1.4","../audio/teste-vocab--102.mp3","s","arrogante","arogan"
"","null","html-keyboard-response","11","25956","0.0-1.0-0.5","+","null","",""
"","2141","audio-keyboard-response","12","28345","0.0-1.0-1.5","../audio/teste-vocab--114.mp3","s","fragmentar","dechire"
"","null","html-keyboard-response","13","28854","0.0-1.0-0.6","+","null","",""
"","1971","audio-keyboard-response","14","30975","0.0-1.0-1.6","../audio/teste-vocab--30.mp3","s","pintor","pent"
"","null","html-keyboard-response","15","31491","0.0-1.0-0.7","+","null","",""
"","2720","audio-keyboard-response","16","34391","0.0-1.0-1.7","../audio/teste-vocab--01.mp3","s","boneca","pope"
"","null","html-keyboard-response","17","34903","0.0-1.0-0.8","+","null","",""
"","2731","audio-keyboard-response","18","37775","0.0-1.0-1.8","../audio/teste-vocab--19.mp3","n","hora","è"
"","null","html-keyboard-response","19","38285","0.0-1.0-0.9","+","null","",""
"","1720","audio-keyboard-response","20","40145","0.0-1.0-1.9","../audio/teste-vocab--26.mp3","s","cotovelo","koud"
"","null","html-keyboard-response","21","40661","0.0-1.0-0.10","+","null","",""
"","4771","audio-keyboard-response","22","45595","0.0-1.0-1.10","../audio/teste-vocab--71.mp3","s","caule","tij"
"","null","html-keyboard-response","23","46102","0.0-1.0-0.11","+","null","",""
"","2811","audio-keyboard-response","24","49073","0.0-1.0-1.11","../audio/teste-vocab--70.mp3","s","funil","antónwa"
"","null","html-keyboard-response","25","49577","0.0-1.0-0.12","+","null","",""
"","2000","audio-keyboard-response","26","51744","0.0-1.0-1.12","../audio/teste-vocab--106.mp3","s","lubrificar","grese"
"","null","html-keyboard-response","27","52258","0.0-1.0-0.13","+","null","",""
"","3371","audio-keyboard-response","28","55801","0.0-1.0-1.13","../audio/teste-vocab--09.mp3","s","vela","bouji"
"","null","html-keyboard-response","29","56319","0.0-1.0-0.14","+","null","",""
"","3040","audio-keyboard-response","30","59560","0.0-1.0-1.14","../audio/teste-vocab--115.mp3","s","perpendicular","pèpandikilè"
"","null","html-keyboard-response","31","60071","0.0-1.0-0.15","+","null","",""
"","2869","audio-keyboard-response","32","63216","0.0-1.0-1.15","../audio/teste-vocab--53.mp3","s","orientar","oryante"
"","null","html-keyboard-response","33","63730","0.0-1.0-0.16","+","null","",""
"","3091","audio-keyboard-response","34","67432","0.0-1.0-1.16","../audio/teste-vocab--61.mp3","s","iluminação","iliminasyon"
"","null","html-keyboard-response","35","67937","0.0-1.0-0.17","+","null","",""
"","1669","audio-keyboard-response","36","69860","0.0-1.0-1.17","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","37","70369","0.0-1.0-0.18","+","null","",""
"","1979","audio-keyboard-response","38","72570","0.0-1.0-1.18","../audio/teste-vocab--117.mp3","s","córnea","kòn"
"","null","html-keyboard-response","39","73075","0.0-1.0-0.19","+","null","",""
"","1520","audio-keyboard-response","40","74809","0.0-1.0-1.19","../audio/teste-vocab--16.mp3","s","pescoço","kou"
"","null","html-keyboard-response","41","75331","0.0-1.0-0.20","+","null","",""
"","1941","audio-keyboard-response","42","77522","0.0-1.0-1.20","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","43","78031","0.0-1.0-0.21","+","null","",""
"","2349","audio-keyboard-response","44","80569","0.0-1.0-1.21","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","45","81086","0.0-1.0-0.22","+","null","",""
"","1928","audio-keyboard-response","46","83289","0.0-1.0-1.22","../audio/teste-vocab--119.mp3","s","numeroso","anpil"
"","null","html-keyboard-response","47","83797","0.0-1.0-0.23","+","null","",""
"","2211","audio-keyboard-response","48","86181","0.0-1.0-1.23","../audio/teste-vocab--12.mp3","s","jaula","kaj"
"","null","html-keyboard-response","49","86695","0.0-1.0-0.24","+","null","",""
"","3459","audio-keyboard-response","50","90337","0.0-1.0-1.24","../audio/teste-vocab--40.mp3","s","bebida","bwason"
"","null","html-keyboard-response","51","90845","0.0-1.0-0.25","+","null","",""
"","5509","audio-keyboard-response","52","96617","0.0-1.0-1.25","../audio/teste-vocab--118.mp3","s","paralelogramo","paralelogram"
"","null","html-keyboard-response","53","97127","0.0-1.0-0.26","+","null","",""
"","4061","audio-keyboard-response","54","101394","0.0-1.0-1.26","../audio/teste-vocab--127.mp3","s","côncavo","konkav"
"","null","html-keyboard-response","55","101912","0.0-1.0-0.27","+","null","",""
"","2408","audio-keyboard-response","56","104569","0.0-1.0-1.27","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","57","105073","0.0-1.0-0.28","+","null","",""
"","2309","audio-keyboard-response","58","107531","0.0-1.0-1.28","../audio/teste-vocab--73.mp3","s","ângulo","ang"
"","null","html-keyboard-response","59","108047","0.0-1.0-0.29","+","null","",""
"","2109","audio-keyboard-response","60","110337","0.0-1.0-1.29","../audio/teste-vocab--107.mp3","s","elo","emay"
"","null","html-keyboard-response","61","110840","0.0-1.0-0.30","+","null","",""
