"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":3641}]","3642","instructions","0","3651","0.0-0.0","",""
"","13958","survey-text","1","17741","0.0-1.0","{""age"":""28""}",""
"","5135","survey-multi-choice","2","22999","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","18416","survey-multi-choice","3","41523","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","12524","survey-multi-choice","4","54157","0.0-4.0","{""mother_schooling"":""Ensino Fundamental""}","[0]"
"","8497","survey-multi-choice","5","62761","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","324161","survey-html-form","6","387033","0.0-6.0","{""language_0"":""crioulo"",""listening_0"":""bebe"",""speaking_0"":""3 anos"",""reading_0"":""6 anos"",""writing_0"":""6 anos"",""language_1"":""françês"",""listening_1"":""3 anos"",""speaking_1"":""10 anos"",""reading_1"":""7 anos"",""writing_1"":""7 anos"",""language_2"":""portugues"",""listening_2"":""20 anos"",""speaking_2"":""23 anos"",""reading_2"":""23 anos"",""writing_2"":""23 anos"",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","224849","survey-html-form","7","611990","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":""françês"",""listening_1"":""desde bebe"",""speaking_1"":""6, 7, 8 anos"",""reading_1"":""6 anos"",""writing_1"":""8 anos"",""language_2"":""portugues"",""listening_2"":""1 ano"",""speaking_2"":""1 ano"",""reading_2"":""1 ano"",""writing_2"":""1 ano""}",""
"","5752","survey-text","8","617881","0.0-8.0","{""country_of_origin"":""Haiti""}",""
"","4868","survey-text","9","622860","0.0-9.0","{""country_of_residence"":""Haiti\n""}",""
"","120725","survey-html-form","10","743701","0.0-10.0","{""country_0"":""Brazil"",""duration_0"":""60 "",""language_0"":""portugues"",""frequency_0"":""7"",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","39235","survey-html-form","11","783042","0.0-11.0","{""language_0"":""frances"",""context_0"":""2"",""language_1"":""portugues"",""context_1"":""1 e 2"",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","90175","survey-html-form","12","873336","0.0-12.0","{""language_0"":""crioulo"",""home_0"":""x"",""friends_0"":"""",""school_0"":"""",""work_0"":"""",""computer_0"":"""",""games_0"":"""",""language_1"":""frances"",""home_1"":"""",""friends_1"":"""",""school_1"":""x"",""work_1"":"""",""computer_1"":"""",""games_1"":"""",""language_2"":""portugues"",""home_2"":"""",""friends_2"":""x"",""school_2"":"""",""work_2"":"""",""computer_2"":"""",""games_2"":"""",""language_3"":""ingles"",""home_3"":"""",""friends_3"":"""",""school_3"":""x"",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","18236","survey-likert","13","891680","0.0-13.0","{""new_languages"":2}","[0]"
"","134468","survey-html-form","14","1026263","0.0-14.0","{""language_0"":""crioulo"",""listen_0"":""6"",""talk_0"":""6"",""read_0"":""6"",""write_0"":""6"",""language_1"":""frances"",""listen_1"":""7"",""talk_1"":""5"",""read_1"":""6"",""write_1"":""5"",""language_2"":""português"",""listen_2"":""6"",""talk_2"":""5"",""read_2"":""5"",""write_2"":""4"",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
"","199870","survey-html-form","15","1226245","0.0-15.0","{""language_0"":""crioulo"",""tv_0"":"""",""radio_0"":"""",""read_fun_0"":""6"",""read_work_0"":"""",""write_0"":"""",""social_nets_0"":""7"",""language_1"":""frances"",""tv_1"":""3"",""radio_1"":"""",""read_fun_1"":"""",""read_work_1"":""1"",""write_1"":"""",""social_nets_1"":""5"",""language_2"":""portugues"",""tv_2"":""1"",""radio_2"":"""",""read_fun_2"":""2"",""read_work_2"":""8"",""write_2"":""10"",""social_nets_2"":""6"",""language_3"":"""",""tv_3"":"""",""radio_3"":"""",""read_fun_3"":"""",""read_work_3"":"""",""write_3"":"""",""social_nets_3"":""""}",""
"","149864","survey-html-form","16","1376217","0.0-16.0","{""language_0"":""crioulo"",""family_0"":""6"",""friends_0"":""10"",""work_0"":""3"",""school_0"":""0"",""language_1"":""frances"",""family_1"":""1"",""friends_1"":""2"",""work_1"":""1"",""school_1"":""0"",""language_2"":""portugues"",""family_2"":""4"",""friends_2"":""8"",""work_2"":""4"",""school_2"":""10"",""language_3"":"""",""family_3"":"""",""friends_3"":"""",""work_3"":"""",""school_3"":""""}",""
"","158134","survey-html-form","17","1534458","0.0-17.0","{""language_0_0"":""crioulo"",""language_0_1"":""crioulo"",""language_0_2"":""portugues"",""language_0_3"":""crioulo"",""language_1_0"":""portugues"",""language_1_1"":""portugues"",""language_1_2"":""português"",""language_1_3"":""português"",""language_2_0"":""português"",""language_2_1"":""português"",""language_2_2"":""português"",""language_2_3"":""português"",""language_3_0"":""português"",""language_3_1"":""português"",""language_3_2"":""português"",""language_3_3"":""português""}",""
"","162671","survey-html-form","18","1697247","0.0-18.0","{""language_2"":""portugues"",""think_2"":""5"",""selftalk_2"":""6"",""emotions_2"":""6"",""dream_2"":""4"",""math_2"":""4"",""remember_2"":""5"",""pray_2"":""2"",""language_1"":""frances"",""think_1"":""3"",""selftalk_1"":""3"",""emotions_1"":""2"",""dream_1"":""2"",""math_1"":""2"",""remember_1"":""2"",""pray_1"":""5"",""language_3"":"""",""think_3"":"""",""selftalk_3"":"""",""emotions_3"":"""",""dream_3"":"""",""math_3"":"""",""remember_3"":"""",""pray_3"":""""}",""
"","7745","survey-multi-choice","19","1705105","0.0-19.0","{""dificuldade_visao_ou_audicao"":""Não""}","[0]"
"","11316","survey-text","20","1716659","0.0-20.0","{""detalhes_dificuldades_audicao_ou_visao"":""""}",""
"","106817","survey-text","21","1823595","0.0-21.0","{""additional_info"":""acho que dominio mais o portugês que fraçes que é uma das minhas linguais principais do meu país e português eu só aprendi a partir de 23 anos. ""}",""
