"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","question_order"
"[{""page_index"":0,""viewing_time"":22262}]","22262","instructions","0","22264","0.0-0.0","",""
"","9242","survey-text","1","31614","0.0-1.0","{""age"":""32""}",""
"","15568","survey-multi-choice","2","47284","0.0-2.0","{""sex"":""Masculino""}","[0]"
"","29669","survey-multi-choice","3","77095","0.0-3.0","{""own_schooling"":""Ensino Médio completo""}","[0]"
"","21743","survey-multi-choice","4","98940","0.0-4.0","{""mother_schooling"":""Ensino Fundamental""}","[0]"
"","7531","survey-multi-choice","5","106575","0.0-5.0","{""father_schooling"":""Ensino Fundamental""}","[0]"
"","410538","survey-html-form","6","517339","0.0-6.0","{""language_0"":""crioulo"",""listening_0"":""2 anos"",""speaking_0"":""2 anos"",""reading_0"":""5 anos"",""writing_0"":""5 anos"",""language_1"":""Françês"",""listening_1"":""2 anos"",""speaking_1"":""2 anos"",""reading_1"":""5 anos"",""writing_1"":""5 anos"",""language_2"":""Português"",""listening_2"":""26 anos"",""speaking_2"":""26 anos"",""reading_2"":""26 anos"",""writing_2"":""26 anos"",""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":""""}",""
"","397726","survey-html-form","7","915171","0.0-7.0","{""language_3"":"""",""listening_3"":"""",""speaking_3"":"""",""reading_3"":"""",""writing_3"":"""",""language_1"":""Françês"",""listening_1"":""5 anos"",""speaking_1"":""5 anos"",""reading_1"":""5 anos"",""writing_1"":""5 anos"",""language_2"":""Português"",""listening_2"":""1 ano"",""speaking_2"":""6 mêses"",""reading_2"":""2 mêses"",""writing_2"":""1 ano""}",""
"","7484","survey-text","8","922789","0.0-8.0","{""country_of_origin"":""Haiti""}",""
"","8180","survey-text","9","931073","0.0-9.0","{""country_of_residence"":""Brasil ""}",""
"","68874","survey-html-form","10","1000050","0.0-10.0","{""country_0"":"""",""duration_0"":"""",""language_0"":"""",""frequency_0"":"""",""country_1"":"""",""duration_1"":"""",""language_1"":"""",""frequency_1"":"""",""country_2"":"""",""duration_2"":"""",""language_2"":"""",""frequency_2"":"""",""country_3"":"""",""duration_3"":"""",""language_3"":"""",""frequency_3"":""""}",""
"","74062","survey-html-form","11","1074222","0.0-11.0","{""language_0"":""Português"",""context_0"":""2"",""language_1"":"""",""context_1"":"""",""language_2"":"""",""context_2"":"""",""language_3"":"""",""context_3"":""""}",""
"","146543","survey-html-form","12","1220873","0.0-12.0","{""language_0"":""Português"",""home_0"":""26 anos"",""friends_0"":""26 anos"",""school_0"":""26 anos"",""work_0"":""26 anos"",""computer_0"":"""",""games_0"":"""",""language_1"":"""",""home_1"":"""",""friends_1"":"""",""school_1"":"""",""work_1"":"""",""computer_1"":"""",""games_1"":"""",""language_2"":"""",""home_2"":"""",""friends_2"":"""",""school_2"":"""",""work_2"":"""",""computer_2"":"""",""games_2"":"""",""language_3"":"""",""home_3"":"""",""friends_3"":"""",""school_3"":"""",""work_3"":"""",""computer_3"":"""",""games_3"":""""}",""
"","26645","survey-likert","13","1247684","0.0-13.0","{""new_languages"":5}","[0]"
"","135441","survey-html-form","14","1383228","0.0-14.0","{""language_0"":""crioulo"",""listen_0"":""7"",""talk_0"":""7"",""read_0"":""7"",""write_0"":""7"",""language_1"":""Françês"",""listen_1"":""7"",""talk_1"":""7"",""read_1"":""7"",""write_1"":""7"",""language_2"":""Portugues"",""listen_2"":""6"",""talk_2"":""6"",""read_2"":""6"",""write_2"":""5"",""language_3"":"""",""listen_3"":"""",""talk_3"":"""",""read_3"":"""",""write_3"":""""}",""
"","498634","survey-html-form","15","1881970","0.0-15.0","{""language_0"":""crioulo"",""tv_0"":""0"",""radio_0"":""0"",""read_fun_0"":""0"",""read_work_0"":""0"",""write_0"":""0"",""social_nets_0"":""1h"",""language_1"":""Françês"",""tv_1"":""0"",""radio_1"":""0"",""read_fun_1"":""0"",""read_work_1"":""0"",""write_1"":""0"",""social_nets_1"":""1h"",""language_2"":""Português"",""tv_2"":""1h"",""radio_2"":""2h"",""read_fun_2"":""1h"",""read_work_2"":""6h"",""write_2"":""1h"",""social_nets_2"":""2h"",""language_3"":"""",""tv_3"":"""",""radio_3"":"""",""read_fun_3"":"""",""read_work_3"":"""",""write_3"":"""",""social_nets_3"":""""}",""
"","124928","survey-html-form","16","2007006","0.0-16.0","{""language_0"":""crioulo"",""family_0"":""1h"",""friends_0"":""1h"",""work_0"":""0"",""school_0"":""0"",""language_1"":""françês"",""family_1"":""1h"",""friends_1"":""1h"",""work_1"":""0"",""school_1"":""0"",""language_2"":""Portugues"",""family_2"":""1h"",""friends_2"":""1"",""work_2"":""8h"",""school_2"":""1h"",""language_3"":"""",""family_3"":"""",""friends_3"":"""",""work_3"":"""",""school_3"":""""}",""
