"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":73090}]","73090","instructions","0","73093","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","73709","0.0-1.0-0.0","+","null","","","","","",""
"","5660","html-keyboard-response","2","79375","0.0-1.0-1.0","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","79878","0.0-1.0-0.1","+","null","","","","","",""
"","5669","html-keyboard-response","4","85549","0.0-1.0-1.1","calmaria","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","5","86052","0.0-1.0-0.2","+","null","","","","","",""
"","2889","html-keyboard-response","6","88944","0.0-1.0-1.2","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","89458","0.0-1.0-0.3","+","null","","","","","",""
"","4218","html-keyboard-response","8","93679","0.0-1.0-1.3","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","94181","0.0-1.0-0.4","+","null","","","","","",""
"","38267","html-keyboard-response","10","132450","0.0-1.0-1.4","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","11","132953","0.0-1.0-0.5","+","null","","","","","",""
"","2356","html-keyboard-response","12","135312","0.0-1.0-1.5","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","13","135814","0.0-1.0-0.6","+","null","","","","","",""
"","71591","html-keyboard-response","14","207408","0.0-1.0-1.6","chassi","s","null","cog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":65228}]","65229","instructions","15","272638","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","273241","0.0-3.0-0.0","+","null","","","","","",""
"","19561","html-keyboard-response","17","292851","0.0-3.0-1.0","undivídio","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","18","293353","0.0-3.0-0.1","+","null","","","","","",""
"","2471","html-keyboard-response","19","295826","0.0-3.0-1.1","tronca","s","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","296328","0.0-3.0-0.2","+","null","","","","","",""
"","17730","html-keyboard-response","21","314060","0.0-3.0-1.2","enxerido","n","a","noncog","word","S","exp","8"
"","null","html-keyboard-response","22","314562","0.0-3.0-0.3","+","null","","","","","",""
"","1857","html-keyboard-response","23","316421","0.0-3.0-1.3","sustentar","s","v","noncog","word","S","exp","9"
"","null","html-keyboard-response","24","316924","0.0-3.0-0.4","+","null","","","","","",""
"","1372","html-keyboard-response","25","318298","0.0-3.0-1.4","barco","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","26","318800","0.0-3.0-0.5","+","null","","","","","",""
"","1537","html-keyboard-response","27","320340","0.0-3.0-1.5","cápsula","s","n","noncog","word","S","exp","7"
"","null","html-keyboard-response","28","320842","0.0-3.0-0.6","+","null","","","","","",""
"","8963","html-keyboard-response","29","329807","0.0-3.0-1.6","podilo","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","30","330309","0.0-3.0-0.7","+","null","","","","","",""
"","8948","html-keyboard-response","31","339259","0.0-3.0-1.7","lagoa","s","n","cog","word","S","exp","5"
"","null","html-keyboard-response","32","339761","0.0-3.0-0.8","+","null","","","","","",""
"","1376","html-keyboard-response","33","341139","0.0-3.0-1.8","memória","s","n","cog","word","S","exp","7"
