"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":228695}]","228695","instructions","0","228699","0.0-0.0","","","",""
"","null","html-keyboard-response","1","229304","0.0-1.0-0.0","+","null","",""
"","4960","audio-keyboard-response","2","236983","0.0-1.0-1.0","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","3","237492","0.0-1.0-0.1","+","null","",""
"","3520","audio-keyboard-response","4","241192","0.0-1.0-1.1","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","5","241706","0.0-1.0-0.2","+","null","",""
"","1880","audio-keyboard-response","6","243839","0.0-1.0-1.2","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","7","244350","0.0-1.0-0.3","+","null","",""
"","2581","audio-keyboard-response","8","247151","0.0-1.0-1.3","../audio/teste-vocab--09.mp3","s","vela","bouji"
"","null","html-keyboard-response","9","247666","0.0-1.0-0.4","+","null","",""
"","2571","audio-keyboard-response","10","250443","0.0-1.0-1.4","../audio/teste-vocab--93.mp3","s","felino","leopa"
"","null","html-keyboard-response","11","250960","0.0-1.0-0.5","+","null","",""
"","1520","audio-keyboard-response","12","252681","0.0-1.0-1.5","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","13","253194","0.0-1.0-0.6","+","null","",""
"","2080","audio-keyboard-response","14","255467","0.0-1.0-1.6","../audio/teste-vocab--63.mp3","s","transparente","transparan"
"","null","html-keyboard-response","15","255979","0.0-1.0-0.7","+","null","",""
"","1899","audio-keyboard-response","16","258052","0.0-1.0-1.7","../audio/teste-vocab--78.mp3","s","quarteto","qwatèt"
"","null","html-keyboard-response","17","258561","0.0-1.0-0.8","+","null","",""
"","1832","audio-keyboard-response","18","260642","0.0-1.0-1.8","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","19","261147","0.0-1.0-0.9","+","null","",""
"","1760","audio-keyboard-response","20","263158","0.0-1.0-1.9","../audio/teste-vocab--52.mp3","s","construção","konstriksyon"
"","null","html-keyboard-response","21","263662","0.0-1.0-0.10","+","null","",""
"","1421","audio-keyboard-response","22","265405","0.0-1.0-1.10","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","23","265916","0.0-1.0-0.11","+","null","",""
"","1651","audio-keyboard-response","24","267740","0.0-1.0-1.11","../audio/teste-vocab--68.mp3","s","surpreendido","sezi"
"","null","html-keyboard-response","25","268246","0.0-1.0-0.12","+","null","",""
"","1691","audio-keyboard-response","26","270200","0.0-1.0-1.12","../audio/teste-vocab--124.mp3","s","obelisco","obelisk"
"","null","html-keyboard-response","27","270712","0.0-1.0-0.13","+","null","",""
"","1800","audio-keyboard-response","28","272691","0.0-1.0-1.13","../audio/teste-vocab--35.mp3","s","líquido","likid"
"","null","html-keyboard-response","29","273193","0.0-1.0-0.14","+","null","",""
"","1989","audio-keyboard-response","30","275566","0.0-1.0-1.14","../audio/teste-vocab--05.mp3","s","limpar","netwaye"
"","null","html-keyboard-response","31","276075","0.0-1.0-0.15","+","null","",""
"","1840","audio-keyboard-response","32","278092","0.0-1.0-1.15","../audio/teste-vocab--85.mp3","s","trio","trio"
"","null","html-keyboard-response","33","278607","0.0-1.0-0.16","+","null","",""
"","1789","audio-keyboard-response","34","280591","0.0-1.0-1.16","../audio/teste-vocab--92.mp3","s","esférico","won"
"","null","html-keyboard-response","35","281094","0.0-1.0-0.17","+","null","",""
"","1840","audio-keyboard-response","36","283133","0.0-1.0-1.17","../audio/teste-vocab--84.mp3","s","confiar","konfye"
"","null","html-keyboard-response","37","283635","0.0-1.0-0.18","+","null","",""
"","1869","audio-keyboard-response","38","285725","0.0-1.0-1.18","../audio/teste-vocab--57.mp3","s","raiz","rasin"
"","null","html-keyboard-response","39","286232","0.0-1.0-0.19","+","null","",""
"","1989","audio-keyboard-response","40","288548","0.0-1.0-1.19","../audio/teste-vocab--122.mp3","s","transeunte","pasajè"
"","null","html-keyboard-response","41","289051","0.0-1.0-0.20","+","null","",""
"","1640","audio-keyboard-response","42","290986","0.0-1.0-1.20","../audio/teste-vocab--02.mp3","s","homem","gason"
"","null","html-keyboard-response","43","291503","0.0-1.0-0.21","+","null","",""
"","1211","audio-keyboard-response","44","294939","0.0-1.0-1.21","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","45","295450","0.0-1.0-0.22","+","null","",""
"","1611","audio-keyboard-response","46","297509","0.0-1.0-1.22","../audio/teste-vocab--31.mp3","s","vazio","vid"
"","null","html-keyboard-response","47","298026","0.0-1.0-0.23","+","null","",""
"","1589","audio-keyboard-response","48","299770","0.0-1.0-1.23","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
