"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":68220}]","68221","instructions","0","68225","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","69332","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","9491","audio-keyboard-response","2","81467","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","1331","audio-keyboard-response","3","83163","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","1309","audio-keyboard-response","4","84901","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","1171","audio-keyboard-response","5","86388","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","880","audio-keyboard-response","6","87612","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","328","audio-keyboard-response","7","111888","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","4411","audio-keyboard-response","8","116657","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","117930","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1688","audio-keyboard-response","10","120169","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","1568","audio-keyboard-response","11","122406","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1451","audio-keyboard-response","12","124599","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","2141","audio-keyboard-response","13","127110","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","2120","audio-keyboard-response","14","129630","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","1192","audio-keyboard-response","15","131240","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","1371","audio-keyboard-response","16","132907","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","3648","audio-keyboard-response","17","139007","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","6364","html-keyboard-response","18","145628","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","s","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":3793}]","3794","instructions","19","149936","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","151051","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","3131","audio-keyboard-response","21","154558","0.0-3.0-1.0","../audio/42-1-masc.mp3"," ","","Eu","","","",""
"","2781","audio-keyboard-response","22","157706","0.0-3.0-1.1","../audio/42-2-masc.mp3"," ","","fui","","","",""
"","1219","audio-keyboard-response","23","159372","0.0-3.0-1.2","../audio/42-3-masc.mp3"," ","","a","","","",""
"","941","audio-keyboard-response","24","160637","0.0-3.0-1.3","../audio/42-4-masc.mp3"," ","","uma","","","",""
"","1280","audio-keyboard-response","25","162253","0.0-3.0-1.4","../audio/42-5-masc.mp3"," ","","loja","","","",""
"","731","audio-keyboard-response","26","163357","0.0-3.0-1.5","../audio/42-6-masc.mp3"," ","","de","","","",""
"","811","audio-keyboard-response","27","164511","0.0-3.0-1.6","../audio/42-7-masc.mp3"," ","","móveis","","","",""
"","851","audio-keyboard-response","28","165666","0.0-3.0-1.7","../audio/42-8-masc.mp3"," ","","no","","","",""
"","731","audio-keyboard-response","29","166743","0.0-3.0-1.8","../audio/42-9-masc.mp3"," ","","bairro.","","","",""
"","null","html-keyboard-response","30","168018","0.0-3.0-0.9-0.9","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1328","audio-keyboard-response","31","169724","0.0-3.0-1.9","../audio/44-1-fem.mp3"," ","","Meus","","","",""
"","1032","audio-keyboard-response","32","171080","0.0-3.0-1.10","../audio/44-2-fem.mp3"," ","","irmãos","","","",""
"","1048","audio-keyboard-response","33","172453","0.0-3.0-1.11","../audio/44-3-fem.mp3"," ","","brigam","","","",""
"","1019","audio-keyboard-response","34","173849","0.0-3.0-1.12","../audio/44-4-fem.mp3"," ","","por","","","",""
"","1400","audio-keyboard-response","35","175622","0.0-3.0-1.13","../audio/44-5-fem.mp3"," ","","bobagem","","","",""
"","981","audio-keyboard-response","36","176953","0.0-3.0-1.14","../audio/44-6-fem.mp3"," ","","todos","","","",""
"","891","audio-keyboard-response","37","178145","0.0-3.0-1.15","../audio/44-7-fem.mp3"," ","","os","","","",""
"","1240","audio-keyboard-response","38","179704","0.0-3.0-1.16","../audio/44-8-fem.mp3"," ","","dias.","","","",""
"","null","html-keyboard-response","39","180974","0.0-3.0-0.17-0.17","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","781","audio-keyboard-response","40","182236","0.0-3.0-1.17","../audio/41-1-fem.mp3"," ","","A","","","",""
"","939","audio-keyboard-response","41","183617","0.0-3.0-1.18","../audio/41-2-fem.mp3"," ","","novela","","","",""
"","3552","audio-keyboard-response","42","187517","0.0-3.0-1.19","../audio/41-3-fem.mp3"," ","","falava","","","",""
"","680","audio-keyboard-response","43","188575","0.0-3.0-1.20","../audio/41-4-fem.mp3"," ","","de","","","",""
"","920","audio-keyboard-response","44","189829","0.0-3.0-1.21","../audio/41-5-fem.mp3"," ","","paixão","","","",""
"","3240","audio-keyboard-response","45","193396","0.0-3.0-1.22","../audio/41-6-fem.mp3"," ","","e","","","",""
"","9680","audio-keyboard-response","46","203477","0.0-3.0-1.23","../audio/41-7-fem.mp3"," ","","comédia.","","","",""
