"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","class","status","answer","correct","trial","letters"
"[{""page_index"":0,""viewing_time"":65441}]","65442","instructions","0","65449","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","66053","0.0-1.0-0.0","+","null","","","","","",""
"","22452","html-keyboard-response","2","88507","0.0-1.0-1.0","oliva","s","null","cog","word","S","prac","null"
"","null","html-keyboard-response","3","89020","0.0-1.0-0.1","+","null","","","","","",""
"","5453","html-keyboard-response","4","94475","0.0-1.0-1.1","chassi","n","null","cog","word","S","prac","null"
"","null","html-keyboard-response","5","94977","0.0-1.0-0.2","+","null","","","","","",""
"","8039","html-keyboard-response","6","103016","0.0-1.0-1.2","plibar","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","7","103518","0.0-1.0-0.3","+","null","","","","","",""
"","2084","html-keyboard-response","8","105603","0.0-1.0-1.3","daja","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","9","106104","0.0-1.0-0.4","+","null","","","","","",""
"","1768","html-keyboard-response","10","107873","0.0-1.0-1.4","órgão","s","null","noncog","word","S","prac","null"
"","null","html-keyboard-response","11","108374","0.0-1.0-0.5","+","null","","","","","",""
"","2163","html-keyboard-response","12","110538","0.0-1.0-1.5","crante","n","null","noncog","pseudo","N","prac","null"
"","null","html-keyboard-response","13","111041","0.0-1.0-0.6","+","null","","","","","",""
"","2203","html-keyboard-response","14","113244","0.0-1.0-1.6","calmaria","n","null","noncog","word","S","prac","null"
"[{""page_index"":0,""viewing_time"":89678}]","89679","instructions","15","202925","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","16","203528","0.0-3.0-0.0","+","null","","","","","",""
"","1785","html-keyboard-response","17","205314","0.0-3.0-1.0","grave","s","a","cog","word","S","exp","5"
"","null","html-keyboard-response","18","205816","0.0-3.0-0.1","+","null","","","","","",""
"","1769","html-keyboard-response","19","207586","0.0-3.0-1.1","abieso","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","20","208087","0.0-3.0-0.2","+","null","","","","","",""
"","4041","html-keyboard-response","21","212128","0.0-3.0-1.2","sintonizar","n","v","noncog","word","S","exp","10"
"","null","html-keyboard-response","22","212631","0.0-3.0-0.3","+","null","","","","","",""
"","1415","html-keyboard-response","23","214047","0.0-3.0-1.3","apontar","s","v","noncog","word","S","exp","7"
"","null","html-keyboard-response","24","214548","0.0-3.0-0.4","+","null","","","","","",""
"","2633","html-keyboard-response","25","217183","0.0-3.0-1.4","pantufa","s","n","cog","word","S","exp","7"
"","null","html-keyboard-response","26","217684","0.0-3.0-0.5","+","null","","","","","",""
"","1926","html-keyboard-response","27","219611","0.0-3.0-1.5","gruja","n","null","noncog","pseudo","N","exp","null"
"","null","html-keyboard-response","28","220113","0.0-3.0-0.6","+","null","","","","","",""
"","1185","html-keyboard-response","29","221300","0.0-3.0-1.6","país","s","n","noncog","word","S","exp","4"
"","null","html-keyboard-response","30","221803","0.0-3.0-0.7","+","null","","","","","",""
"","1883","html-keyboard-response","31","223687","0.0-3.0-1.7","nivelado","s","a","cog","word","S","exp","8"
"","null","html-keyboard-response","32","224188","0.0-3.0-0.8","+","null","","","","","",""
