"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","trial_part","word","question","answer","trial","accuracy"
"[{""page_index"":0,""viewing_time"":42217},{""page_index"":1,""viewing_time"":226735}]","268954","instructions","0","268960","0.0-0.0","","","","","","","",""
"","null","html-keyboard-response","1","270067","0.0-1.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","8379","audio-keyboard-response","2","279853","0.0-1.0-1.0","../audio/prac-question-1-1.mp3"," ","","O","","","",""
"","3221","audio-keyboard-response","3","284124","0.0-1.0-1.1","../audio/prac-question-1-2.mp3"," ","","dia","","","",""
"","2640","audio-keyboard-response","4","287974","0.0-1.0-1.2","../audio/prac-question-1-3.mp3"," ","","estará","","","",""
"","4259","audio-keyboard-response","5","293260","0.0-1.0-1.3","../audio/prac-question-1-4.mp3"," ","","cheio","","","",""
"","3320","audio-keyboard-response","6","297600","0.0-1.0-1.4","../audio/prac-question-1-5.mp3"," ","","de","","","",""
"","4621","audio-keyboard-response","7","303439","0.0-1.0-1.5","../audio/prac-question-1-6.mp3"," ","","nuvens","","","",""
"","1261","audio-keyboard-response","8","305677","0.0-1.0-1.6","../audio/prac-question-1-7.mp3"," ","","hoje.","","","",""
"","null","html-keyboard-response","9","306930","0.0-1.0-0.7-0.7","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","611","audio-keyboard-response","10","308519","0.0-1.0-1.7","../audio/prac-question-2-1.mp3"," ","","A","","","",""
"","469","audio-keyboard-response","11","309781","0.0-1.0-1.8","../audio/prac-question-2-2.mp3"," ","","caneca","","","",""
"","1232","audio-keyboard-response","12","311767","0.0-1.0-1.9","../audio/prac-question-2-3.mp3"," ","","colorida","","","",""
"","789","audio-keyboard-response","13","313076","0.0-1.0-1.10","../audio/prac-question-2-4.mp3"," ","","caiu","","","",""
"","549","audio-keyboard-response","14","314139","0.0-1.0-1.11","../audio/prac-question-2-5.mp3"," ","","da","","","",""
"","728","audio-keyboard-response","15","315375","0.0-1.0-1.12","../audio/prac-question-2-6.mp3"," ","","mesa","","","",""
"","539","audio-keyboard-response","16","316431","0.0-1.0-1.13","../audio/prac-question-2-7.mp3"," ","","de","","","",""
"","1688","audio-keyboard-response","17","318901","0.0-1.0-1.14","../audio/prac-question-2-8.mp3"," ","","jantar.","","","",""
"","16449","html-keyboard-response","18","335602","0.0-1.0-2.14-0.14","<span style=""font-size:25px; font-family: monospace"">A caneca era colorida?</span>","n","","","A caneca era colorida?","null","prac-sent","false"
"[{""page_index"":0,""viewing_time"":19239}]","19240","instructions","19","355343","0.0-2.0","","","","","","","",""
"","null","html-keyboard-response","20","356446","0.0-3.0-0.0-0.0","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","2109","audio-keyboard-response","21","359586","0.0-3.0-1.0","../audio/28-1-masc.mp3"," ","","O","","","",""
"","888","audio-keyboard-response","22","361455","0.0-3.0-1.1","../audio/28-2-masc.mp3"," ","","time","","","",""
"","648","audio-keyboard-response","23","362653","0.0-3.0-1.2","../audio/28-3-masc.mp3"," ","","quer","","","",""
"","808","audio-keyboard-response","24","363982","0.0-3.0-1.3","../audio/28-4-masc.mp3"," ","","a","","","",""
"","1211","audio-keyboard-response","25","365959","0.0-3.0-1.4","../audio/28-5-masc.mp3"," ","","vitória","","","",""
"","859","audio-keyboard-response","26","367337","0.0-3.0-1.5","../audio/28-6-masc.mp3"," ","","no","","","",""
"","779","audio-keyboard-response","27","368624","0.0-3.0-1.6","../audio/28-7-masc.mp3"," ","","jogo","","","",""
"","691","audio-keyboard-response","28","369826","0.0-3.0-1.7","../audio/28-8-masc.mp3"," ","","de","","","",""
"","1101","audio-keyboard-response","29","371918","0.0-3.0-1.8","../audio/28-9-masc.mp3"," ","","vôlei.","","","",""
"","null","html-keyboard-response","30","373169","0.0-3.0-0.9-0.9","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","1080","audio-keyboard-response","31","375235","0.0-3.0-1.9","../audio/29-1-masc.mp3"," ","","Hoje","","","",""
"","771","audio-keyboard-response","32","376790","0.0-3.0-1.10","../audio/29-2-masc.mp3"," ","","vamos","","","",""
"","811","audio-keyboard-response","33","378158","0.0-3.0-1.11","../audio/29-3-masc.mp3"," ","","fazer","","","",""
"","899","audio-keyboard-response","34","379578","0.0-3.0-1.12","../audio/29-4-masc.mp3"," ","","uma","","","",""
"","1459","audio-keyboard-response","35","382266","0.0-3.0-1.13","../audio/29-5-masc.mp3"," ","","atividade","","","",""
"","989","audio-keyboard-response","36","384298","0.0-3.0-1.14","../audio/29-6-masc.mp3"," ","","sobre","","","",""
"","1368","audio-keyboard-response","37","386220","0.0-3.0-1.15","../audio/29-7-masc.mp3"," ","","fauna","","","",""
"","2240","audio-keyboard-response","38","389220","0.0-3.0-1.16","../audio/29-8-masc.mp3"," ","","marinha.","","","",""
"","null","html-keyboard-response","39","390475","0.0-3.0-0.17-0.17","<span style= ""font-size:30px; font-family: monospace"">+</span>","null","fixation","","","","",""
"","949","audio-keyboard-response","40","392461","0.0-3.0-1.17","../audio/27-1-masc.mp3"," ","","O","","","",""
"","1131","audio-keyboard-response","41","394343","0.0-3.0-1.18","../audio/27-2-masc.mp3"," ","","dinheiro","","","",""
"","781","audio-keyboard-response","42","395640","0.0-3.0-1.19","../audio/27-3-masc.mp3"," ","","chegou","","","",""
"","659","audio-keyboard-response","43","396816","0.0-3.0-1.20","../audio/27-4-masc.mp3"," ","","à","","","",""
