"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"[{""page_index"":0,""viewing_time"":1769}]","1769","instructions","0","1774","0.0-0.0","","","",""
"","null","html-keyboard-response","1","2376","0.0-1.0-0.0","+","null","",""
"","4920","audio-keyboard-response","2","7821","0.0-1.0-1.0","../audio/teste-vocab--15.mp3","s","flecha","flèch"
"","null","html-keyboard-response","3","8321","0.0-1.0-0.1","+","null","",""
"","2339","audio-keyboard-response","4","11643","0.0-1.0-1.1","../audio/teste-vocab--33.mp3","s","uniforme","inifòm"
"","null","html-keyboard-response","5","12144","0.0-1.0-0.2","+","null","",""
"","2168","audio-keyboard-response","6","15313","0.0-1.0-1.2","../audio/teste-vocab--28.mp3","s","águia","èg"
"","null","html-keyboard-response","7","15814","0.0-1.0-0.3","+","null","",""
"","2040","audio-keyboard-response","8","18862","0.0-1.0-1.3","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","9","19363","0.0-1.0-0.4","+","null","",""
"","4371","audio-keyboard-response","10","24718","0.0-1.0-1.4","../audio/teste-vocab--126.mp3","n","ambulante","promennen"
"","null","html-keyboard-response","11","25219","0.0-1.0-0.5","+","null","",""
"","2168","audio-keyboard-response","12","28508","0.0-1.0-1.5","../audio/teste-vocab--06.mp3","s","barco","bato"
"","null","html-keyboard-response","13","29010","0.0-1.0-0.6","+","null","",""
"","2499","audio-keyboard-response","14","32563","0.0-1.0-1.6","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","15","33064","0.0-1.0-0.7","+","null","",""
"","3728","audio-keyboard-response","16","37874","0.0-1.0-1.7","../audio/teste-vocab--89.mp3","s","classificar","klasifika"
"","null","html-keyboard-response","17","38375","0.0-1.0-0.8","+","null","",""
"","2149","audio-keyboard-response","18","41533","0.0-1.0-1.8","../audio/teste-vocab--47.mp3","s","envelope","anvlope"
"","null","html-keyboard-response","19","42034","0.0-1.0-0.9","+","null","",""
"","1811","audio-keyboard-response","20","44838","0.0-1.0-1.9","../audio/teste-vocab--121.mp3","s","atônito","sezi"
